system:index,AWEINS,AWEIS,B11,B12,B2,B3,B4,B5,B6,B7,B8,EVI,NDBI,NDSI,NDVI,NDWI,landcover,.geo
1_1_1_1_1_35_0,18628.5,12838.5,217,200,5380,5230,4860,4453,4376,3741,3494,0.4437946718648473,0.21253099,0.92032313,-0.16351448,0.19899128,0,
1_1_1_1_1_36_0,17585.5,12123.75,192,189,5021,4921,4655,4505,4210,3658,3243,0.5444590113364696,0.21515004,0.9248973,-0.17877944,0.2055365,0,
1_1_1_1_1_37_0,17585.5,12123.75,192,189,5021,4921,4655,4505,4210,3658,3243,0.5444590113364696,0.21515004,0.9248973,-0.17877944,0.2055365,0,
1_1_1_1_1_38_0,17601.25,12413.0,197,198,5043,4925,4592,4390,4008,3354,3065,0.5298771601082657,0.24395658,0.9230769,-0.19942537,0.23279099,0,
1_1_1_1_1_39_0,16907.5,11746.5,168,168,4820,4699,4420,4245,3846,3330,3018,0.5301769777643321,0.22990559,0.93096364,-0.18849152,0.21783076,0,
1_1_1_1_1_40_0,18221.0,13074.5,143,136,5176,4970,4543,4364,3983,3269,2852,0.48541738431507636,0.2894868,0.94406414,-0.22866802,0.27077475,0,
1_1_1_1_1_41_0,22602.0,15832.0,177,162,6303,6172,5772,5490,5142,4135,3730,0.5729838935967226,0.2564537,0.9442432,-0.21490213,0.24661684,0,
1_1_1_1_1_42_0,18937.0,13581.0,149,148,5335,5169,4701,4510,4108,3405,2944,0.4956835750155165,0.28880298,0.9439639,-0.22982341,0.2742512,0,
1_1_1_1_1_43_0,15709.25,10949.0,146,128,4488,4333,4118,4083,3706,3236,2747,0.5524661508704062,0.2406358,0.9348069,-0.19970867,0.2240113,0,
1_1_1_1_1_44_0,15053.25,10317.0,158,146,4370,4200,4035,3925,3772,3184,2853,0.51742251794782,0.21002354,0.9274897,-0.17160279,0.19098257,0,
1_1_1_1_1_45_0,30601.0,21535.25,408,363,8761,8647,8177,7787,7104,5830,5427,0.6128816581234677,0.23498732,0.90988404,-0.20214643,0.22879067,0,
1_1_1_1_1_46_0,20226.5,14455.75,199,165,5650,5568,5105,4819,4492,3729,3183,0.5612662072187828,0.27929357,0.93098664,-0.23190154,0.27254027,0,
1_1_1_1_1_47_0,28635.25,20333.75,369,311,8069,8042,7443,7108,6716,5377,4806,0.5964713865641258,0.2534369,0.91225773,-0.21528289,0.251868,0,
